場次,贏球隊伍,主場隊伍,主隊兩分%,主隊三分%,主隊罰球%,主隊得分,主隊籃板,主隊助攻,主隊抄截,主隊阻攻,主隊失誤,主隊犯規,客場隊伍,客隊兩分%,客隊三分%,客隊罰球%,客隊得分,客隊籃板,客隊助攻,客隊抄截,客隊阻攻,客隊失誤,客隊犯規
1,新北國王,新北國王,0.48,0.27,0.73,104,66,22,11,1,12,20,台北富邦勇士,0.42,0.29,0.53,89,58,17,7,7,15,20
2,新北國王,台北富邦勇士,0.53,0.25,0.69,99,62,14,7,6,17,18,新北國王,0.51,0.34,0.83,103,48,25,11,6,12,19
3,新北國王,台北富邦勇士,0.55,0.26,0.73,101,45,25,9,9,14,23,新北國王,0.4,0.33,0.78,106,67,25,6,7,19,22
4,新北國王,新北國王,0.56,0.32,0.69,95,51,26,11,4,17,13,台北富邦勇士,0.47,0.34,0.55,83,41,23,12,4,18,16
5,台北富邦勇士,台北富邦勇士,0.53,0.48,0.69,111,49,28,9,2,19,16,新北國王,0.47,0.45,0.5,109,46,28,13,5,17,16
6,台北富邦勇士,新北國王,0.53,0.27,0.69,95,56,23,9,5,17,27,台北富邦勇士,0.38,0.38,0.66,106,57,19,11,0,11,17
7,新北國王,台北富邦勇士,0.54,0.2,0.63,90,55,24,5,6,16,19,新北國王,0.4,0.36,0.76,97,54,21,12,2,12,25
8,台北富邦勇士,新北國王,0.39,0.12,0.46,68,62,18,8,2,11,20,台北富邦勇士,0.49,0.21,0.86,89,69,23,7,3,13,19
冠軍賽1,新北國王,新北國王,0.52,0.24,0.75,86,54,20,7,4,13,17,台北富邦勇士,0.41,0.18,0.73,72,51,16,5,5,17,16
冠軍賽2,台北富邦勇士,新北國王,0.4,0.26,0.79,83,44,11,15,1,20,18,台北富邦勇士,0.57,0.27,0.6,87,54,15,12,6,25,27
冠軍賽3,台北富邦勇士,台北富邦勇士,0.47,0.24,0.86,97,58,13,10,2,10,22,新北國王,0.46,0.21,0.83,91,54,13,7,4,17,23
冠軍賽4,新北國王,台北富邦勇士,0.53,0.23,0.61,97,46,17,12,8,15,16,新北國王,0.51,0.42,0.78,107,58,27,8,5,24,22
冠軍賽5,台北富邦勇士,新北國王,0.5,0.37,0.8,105,41,20,9,4,12,23,台北富邦勇士,0.65,0.33,0.74,111,48,25,6,1,13,23
冠軍賽6,台北富邦勇士,台北富邦勇士,0.62,0.42,0.92,118,42,28,10,4,14,15,新北國王,0.62,0.41,0.67,104,34,18,7,4,17,17
